AmericanSamoaʥ2001-01-19T01:12:51Zʥip:office.bomis.comʥip:office.bomis.comʥ* ʥ1
AmericanSamoaʥ2007-05-24T14:41:33ZʥNgaiklinʥ4477979ʥRobot: Automated text replacement (-\[\[(.*?[\:|\|])*?(.+?)\]\] +\g<2>) ʥ1
Alabamaʥ2006-05-26T00:12:22Zʥip:70.146.212.61ʥip:70.146.212.61ʥʥ1
Alabamaʥ2006-05-26T00:14:15ZʥDiscospinsterʥ82432ʥRevert to revision 55147353 using [[:en:Wikipedia:Tools/Navigation_popups|popups]] ʥ1
Alabamaʥ2006-05-26T01:05:12Zʥip:84.236.51.119ʥip:84.236.51.119ʥ/* External links */ ʥ1
Alabamaʥ2006-05-26T01:24:05ZʥRJNʥ681774ʥReverted edits by [[Special:Contributions/84.236.51.119|84.236.51.119]] ([[User_talk:84.236.51.119|talk]]) to last version by Discospinster ʥ1
Alabamaʥ2006-05-26T01:31:25Zʥip:84.236.51.119ʥip:84.236.51.119ʥ/* External links */ ʥ1
Alabamaʥ2006-05-26T01:31:52ZʥKhoikhoiʥ657950ʥReverted edits by [[Special:Contributions/84.236.51.119|84.236.51.119]] ([[User talk:84.236.51.119|Talk]]) to last version by RJN ʥ1
Alabamaʥ2006-05-26T06:30:47Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:34:53Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:36:44Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:38:24Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:40:20Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:44:07Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:46:12Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:48:53Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:50:31Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:52:42Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:54:24Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T06:56:16Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:01:14Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:07:32Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:10:10Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:13:59Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:21:22Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:22:30Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:25:13Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:27:14Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:30:12Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:32:10Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:39:04Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:41:58Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:44:02Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Alabamaʥ2006-05-26T07:45:08Zʥip:199.174.156.66ʥip:199.174.156.66ʥ/* Sports Teams */ ʥ1
Apollo_11ʥ2007-07-17T21:35:28Zʥip:86.105.210.6ʥip:86.105.210.6ʥ/* Depiction in fiction */ ʥ1
Apollo_11ʥ2007-07-17T21:36:22Zʥip:86.105.210.6ʥip:86.105.210.6ʥ/* Primary crew */ ʥ1
Apollo_11ʥ2007-07-17T21:36:39Zʥip:86.105.210.6ʥip:86.105.210.6ʥ/* Support crew */ ʥ1
Apollo_11ʥ2007-07-17T21:36:50Zʥip:86.105.210.6ʥip:86.105.210.6ʥ/* Backup crew */ ʥ1
Apollo_11ʥ2007-07-17T21:37:02Zʥip:86.105.210.6ʥip:86.105.210.6ʥ/* Mission highlights */ ʥ1
Apollo_11ʥ2007-07-17T21:38:14Zʥip:86.105.210.6ʥip:86.105.210.6ʥ/* Mission insignia */ ʥ1
